symbol,strategy,interval,side,qty,entry_signal_time,entry_time,entry_price,exit_time,exit_price,exit_reason,bars_held,pnl,return_pct,stop_price,take_profit_price
MSFT,macd_pullback,5m,long,4,2025-01-03T16:40:00+00:00,2025-01-03T16:45:00+00:00,422.375,2025-01-28T19:45:00+00:00,447.72,take_profit,1209,101.38,6.0006,409.7,447.72
MSFT,macd_pullback,5m,short,4,2025-01-30T20:40:00+00:00,2025-01-30T20:45:00+00:00,414.21,2025-02-28T14:30:00+00:00,389.36,take_profit,1493,99.4,5.9994,426.64,389.36
MSFT,macd_pullback,5m,short,5,2025-02-28T16:25:00+00:00,2025-02-28T16:30:00+00:00,389.46,2025-03-05T20:00:00+00:00,401.14,stop_loss,284,-58.4,-2.999,401.14,366.09
MSFT,macd_pullback,5m,short,5,2025-03-11T16:05:00+00:00,2025-03-11T16:10:00+00:00,380.55,2025-03-17T18:25:00+00:00,391.97,stop_loss,340,-57.1,-3.0009,391.97,357.72
MSFT,macd_pullback,5m,short,5,2025-03-18T16:50:00+00:00,2025-03-18T16:55:00+00:00,381.61,2025-03-24T13:30:00+00:00,393.06,stop_loss,275,-57.25,-3.0004,393.06,358.71
MSFT,macd_pullback,5m,long,5,2025-03-25T19:55:00+00:00,2025-03-26T13:30:00+00:00,395.07,2025-03-28T14:50:00+00:00,383.22,stop_loss,173,-59.25,-2.9995,383.22,418.77
MSFT,macd_pullback,5m,short,5,2025-03-31T17:00:00+00:00,2025-03-31T17:05:00+00:00,370.4,2025-03-31T19:55:00+00:00,375.03,end_of_backtest,35,-23.15,-1.25,381.51,348.18
