timestamp,symbol,strategy,action,reason,latest_close,entry_price,buying_power,in_position,qty,sma_fast,sma_slow,signal,crossover,market_is_open,force_test_trade,force_direction
2026-03-27T16:52:21Z,AAPL,sma_crossover,HOLD,no_trade,252.535,,200000.0,False,0,252.40175000000005,253.1191,0.0,0.0,True,False,SELL
2026-03-27T16:53:22Z,AAPL,sma_crossover,HOLD,no_trade,252.5,,200000.0,False,0,252.40000000000003,253.1184,0.0,0.0,True,False,SELL
2026-03-27T16:54:23Z,AAPL,sma_crossover,HOLD,no_trade,252.345,,200000.0,False,0,252.39225000000002,253.11530000000002,0.0,0.0,True,False,SELL
2026-03-27T16:55:23Z,AAPL,sma_crossover,HOLD,no_trade,252.45,,200000.0,False,0,252.39750000000004,253.1174,0.0,0.0,True,False,SELL
2026-03-27T16:56:24Z,AAPL,sma_crossover,HOLD,no_trade,252.5,,200000.0,False,0,252.40699999999998,253.102,0.0,0.0,True,False,SELL
2026-03-27T16:57:25Z,AAPL,sma_crossover,HOLD,no_trade,252.395,,200000.0,False,0,252.40175,253.09990000000002,0.0,0.0,True,False,SELL
2026-03-27T16:58:26Z,AAPL,sma_crossover,HOLD,no_trade,252.39,,200000.0,False,0,252.4015,253.0998,0.0,0.0,True,False,SELL
2026-03-27T16:59:26Z,AAPL,sma_crossover,HOLD,no_trade,252.52,,200000.0,False,0,252.408,253.10240000000002,0.0,0.0,True,False,SELL
2026-03-27T17:00:27Z,AAPL,sma_crossover,HOLD,no_trade,252.41,,200000.0,False,0,252.40249999999997,253.1002,0.0,0.0,True,False,SELL
2026-03-27T17:01:28Z,AAPL,sma_crossover,HOLD,no_trade,252.46,,200000.0,False,0,252.407,253.07600000000002,0.0,0.0,True,False,SELL
2026-03-27T17:02:29Z,AAPL,sma_crossover,HOLD,no_trade,252.2,,200000.0,False,0,252.394,253.07080000000002,0.0,0.0,True,False,SELL
2026-03-27T17:03:30Z,AAPL,sma_crossover,HOLD,no_trade,252.065,,200000.0,False,0,252.38725000000005,253.06810000000002,0.0,0.0,True,False,SELL
2026-03-27T17:04:31Z,AAPL,sma_crossover,HOLD,no_trade,252.0,,200000.0,False,0,252.38400000000001,253.0668,0.0,0.0,True,False,SELL
2026-03-27T17:05:32Z,AAPL,sma_crossover,HOLD,no_trade,252.17,,200000.0,False,0,252.3925,253.0702,0.0,0.0,True,False,SELL
2026-03-27T17:06:33Z,AAPL,sma_crossover,HOLD,no_trade,252.05,,200000.0,False,0,252.36625000000004,253.0498,0.0,0.0,True,False,SELL
2026-03-27T17:07:34Z,AAPL,sma_crossover,HOLD,no_trade,252.45,,200000.0,False,0,252.38625000000002,253.05780000000001,0.0,0.0,True,False,SELL
2026-03-27T17:08:35Z,AAPL,sma_crossover,HOLD,no_trade,252.25,,200000.0,False,0,252.37625000000003,253.05380000000002,0.0,0.0,True,False,SELL
2026-03-27T17:09:36Z,AAPL,sma_crossover,HOLD,no_trade,252.21,,200000.0,False,0,252.37425000000002,253.053,0.0,0.0,True,False,SELL
2026-03-27T17:10:37Z,AAPL,sma_crossover,HOLD,no_trade,252.31,,200000.0,False,0,252.37925,253.055,0.0,0.0,True,False,SELL
2026-03-27T17:11:38Z,AAPL,sma_crossover,HOLD,no_trade,252.175,,200000.0,False,0,252.3355,253.0501,0.0,0.0,True,False,SELL
2026-03-27T17:12:38Z,AAPL,sma_crossover,HOLD,no_trade,252.11,,200000.0,False,0,252.33225,253.0488,0.0,0.0,True,False,SELL
2026-03-27T17:13:39Z,AAPL,sma_crossover,HOLD,no_trade,251.75,,200000.0,False,0,252.31425,253.0416,0.0,0.0,True,False,SELL
2026-03-27T17:14:40Z,AAPL,sma_crossover,HOLD,no_trade,251.6,,200000.0,False,0,252.30674999999997,253.0386,0.0,0.0,True,False,SELL
2026-03-27T17:15:41Z,AAPL,sma_crossover,HOLD,no_trade,251.96,,200000.0,False,0,252.32475,253.04579999999999,0.0,0.0,True,False,SELL
2026-03-27T17:16:41Z,AAPL,sma_crossover,HOLD,no_trade,251.76,,200000.0,False,0,252.28975,253.02899999999997,0.0,0.0,True,False,SELL
2026-03-27T17:17:42Z,AAPL,sma_crossover,HOLD,no_trade,251.68,,200000.0,False,0,252.28575,253.02739999999997,0.0,0.0,True,False,SELL
2026-03-27T17:18:43Z,AAPL,sma_crossover,HOLD,no_trade,251.68,,200000.0,False,0,252.28575,253.02739999999997,0.0,0.0,True,False,SELL
2026-03-27T17:19:44Z,AAPL,sma_crossover,HOLD,no_trade,251.41,,200000.0,False,0,252.27224999999999,253.02200000000002,0.0,0.0,True,False,SELL
2026-03-27T17:20:44Z,AAPL,sma_crossover,HOLD,no_trade,251.41,,200000.0,False,0,252.27224999999999,253.02200000000002,0.0,0.0,True,False,SELL
2026-03-27T17:21:45Z,AAPL,sma_crossover,HOLD,no_trade,251.18,,200000.0,False,0,252.20074999999997,252.9888,0.0,0.0,True,False,SELL
2026-03-27T17:22:46Z,AAPL,sma_crossover,HOLD,no_trade,251.08,,200000.0,False,0,252.19575,252.98680000000002,0.0,0.0,True,False,SELL
2026-03-27T17:23:47Z,AAPL,sma_crossover,HOLD,no_trade,251.02,,200000.0,False,0,252.19275,252.9856,0.0,0.0,True,False,SELL
2026-03-27T17:24:48Z,AAPL,sma_crossover,HOLD,no_trade,250.87,,200000.0,False,0,252.18525,252.98260000000002,0.0,0.0,True,False,SELL
2026-03-27T17:25:48Z,AAPL,sma_crossover,HOLD,no_trade,250.735,,200000.0,False,0,252.17849999999999,252.97990000000001,0.0,0.0,True,False,SELL
2026-03-27T17:26:49Z,AAPL,sma_crossover,HOLD,no_trade,250.74,,200000.0,False,0,252.0985,252.9491,0.0,0.0,True,False,SELL
2026-03-27T17:27:50Z,AAPL,sma_crossover,HOLD,no_trade,250.63,,200000.0,False,0,252.09300000000002,252.9469,0.0,0.0,True,False,SELL
2026-03-27T17:28:51Z,AAPL,sma_crossover,HOLD,no_trade,250.52,,200000.0,False,0,252.0875,252.9447,0.0,0.0,True,False,SELL
2026-03-27T17:29:51Z,AAPL,sma_crossover,HOLD,no_trade,250.49,,200000.0,False,0,252.086,252.9441,0.0,0.0,True,False,SELL
2026-03-27T17:30:52Z,AAPL,sma_crossover,HOLD,no_trade,250.39,,200000.0,False,0,252.08100000000005,252.94209999999998,0.0,0.0,True,False,SELL
2026-03-27T17:31:53Z,AAPL,sma_crossover,HOLD,no_trade,250.43,,200000.0,False,0,251.97275,252.8933,0.0,0.0,True,False,SELL
2026-03-27T17:32:54Z,AAPL,sma_crossover,HOLD,no_trade,250.41,,200000.0,False,0,251.97175000000001,252.8929,0.0,0.0,True,False,SELL
2026-03-27T17:33:55Z,AAPL,sma_crossover,HOLD,no_trade,250.44,,200000.0,False,0,251.97325,252.89350000000002,0.0,0.0,True,False,SELL
