variant_label,sweep_param,sweep_value,trade_count,long_trade_count,short_trade_count,win_rate_pct,profit_factor,total_return_pct,max_drawdown_pct,ending_equity,average_trade_return_pct,best_trade_return_pct,worst_trade_return_pct,time_stop_count,macd_failure_count,long_entry_signal_count,short_entry_signal_count,run_root,trades_csv_path,summary_json_path,chart_path
require_recent_trend_alignment=True,require_recent_trend_alignment,True,669,344,325,46.4873,1.1162,0.612,-0.4688,100612.01,0.0507,4.9177,-3.8944,155,223,710,669,backtests\2026-04-19_20-47-13_NVDA_macd_pullback_2021-03-31_to_2026-03-31_sweep_require_recent_trend_alignment\2026-04-19_20-47-13_NVDA_macd_pullback_2021-03-31_to_2026-03-31_require_recent_trend_alignment_True,backtests\2026-04-19_20-47-13_NVDA_macd_pullback_2021-03-31_to_2026-03-31_sweep_require_recent_trend_alignment\2026-04-19_20-47-13_NVDA_macd_pullback_2021-03-31_to_2026-03-31_require_recent_trend_alignment_True\2026-04-19_20-47-13_NVDA_macd_pullback_2021-03-31_to_2026-03-31_require_recent_trend_alignment_True_trades.csv,backtests\2026-04-19_20-47-13_NVDA_macd_pullback_2021-03-31_to_2026-03-31_sweep_require_recent_trend_alignment\2026-04-19_20-47-13_NVDA_macd_pullback_2021-03-31_to_2026-03-31_require_recent_trend_alignment_True\2026-04-19_20-47-13_NVDA_macd_pullback_2021-03-31_to_2026-03-31_require_recent_trend_alignment_True_summary.json,
require_recent_trend_alignment=False,require_recent_trend_alignment,False,933,453,480,46.0879,1.1224,0.9511,-0.597,100951.13,0.0574,4.8793,-3.8944,183,356,973,998,backtests\2026-04-19_20-47-13_NVDA_macd_pullback_2021-03-31_to_2026-03-31_sweep_require_recent_trend_alignment\2026-04-19_20-47-13_NVDA_macd_pullback_2021-03-31_to_2026-03-31_require_recent_trend_alignment_False,backtests\2026-04-19_20-47-13_NVDA_macd_pullback_2021-03-31_to_2026-03-31_sweep_require_recent_trend_alignment\2026-04-19_20-47-13_NVDA_macd_pullback_2021-03-31_to_2026-03-31_require_recent_trend_alignment_False\2026-04-19_20-47-13_NVDA_macd_pullback_2021-03-31_to_2026-03-31_require_recent_trend_alignment_False_trades.csv,backtests\2026-04-19_20-47-13_NVDA_macd_pullback_2021-03-31_to_2026-03-31_sweep_require_recent_trend_alignment\2026-04-19_20-47-13_NVDA_macd_pullback_2021-03-31_to_2026-03-31_require_recent_trend_alignment_False\2026-04-19_20-47-13_NVDA_macd_pullback_2021-03-31_to_2026-03-31_require_recent_trend_alignment_False_summary.json,
