variant_label,sweep_param,sweep_value,trade_count,long_trade_count,short_trade_count,win_rate_pct,profit_factor,total_return_pct,max_drawdown_pct,ending_equity,average_trade_return_pct,best_trade_return_pct,worst_trade_return_pct,time_stop_count,macd_failure_count,long_entry_signal_count,short_entry_signal_count,run_root,trades_csv_path,summary_json_path,chart_path
require_recent_trend_alignment=True,require_recent_trend_alignment,True,381,175,206,39.3701,0.7248,-0.9607,-1.051,99039.34,-0.1332,3.1568,-2.6824,88,128,368,407,backtests\2026-04-19_20-48-40_AMD_macd_pullback_2023-03-31_to_2026-03-31_sweep_require_recent_trend_alignment\2026-04-19_20-48-40_AMD_macd_pullback_2023-03-31_to_2026-03-31_require_recent_trend_alignment_True,backtests\2026-04-19_20-48-40_AMD_macd_pullback_2023-03-31_to_2026-03-31_sweep_require_recent_trend_alignment\2026-04-19_20-48-40_AMD_macd_pullback_2023-03-31_to_2026-03-31_require_recent_trend_alignment_True\2026-04-19_20-48-40_AMD_macd_pullback_2023-03-31_to_2026-03-31_require_recent_trend_alignment_True_trades.csv,backtests\2026-04-19_20-48-40_AMD_macd_pullback_2023-03-31_to_2026-03-31_sweep_require_recent_trend_alignment\2026-04-19_20-48-40_AMD_macd_pullback_2023-03-31_to_2026-03-31_require_recent_trend_alignment_True\2026-04-19_20-48-40_AMD_macd_pullback_2023-03-31_to_2026-03-31_require_recent_trend_alignment_True_summary.json,
require_recent_trend_alignment=False,require_recent_trend_alignment,False,503,228,275,42.1471,0.8705,-0.5743,-0.7042,99425.68,-0.0606,5.4584,-2.6824,111,185,476,576,backtests\2026-04-19_20-48-40_AMD_macd_pullback_2023-03-31_to_2026-03-31_sweep_require_recent_trend_alignment\2026-04-19_20-48-40_AMD_macd_pullback_2023-03-31_to_2026-03-31_require_recent_trend_alignment_False,backtests\2026-04-19_20-48-40_AMD_macd_pullback_2023-03-31_to_2026-03-31_sweep_require_recent_trend_alignment\2026-04-19_20-48-40_AMD_macd_pullback_2023-03-31_to_2026-03-31_require_recent_trend_alignment_False\2026-04-19_20-48-40_AMD_macd_pullback_2023-03-31_to_2026-03-31_require_recent_trend_alignment_False_trades.csv,backtests\2026-04-19_20-48-40_AMD_macd_pullback_2023-03-31_to_2026-03-31_sweep_require_recent_trend_alignment\2026-04-19_20-48-40_AMD_macd_pullback_2023-03-31_to_2026-03-31_require_recent_trend_alignment_False\2026-04-19_20-48-40_AMD_macd_pullback_2023-03-31_to_2026-03-31_require_recent_trend_alignment_False_summary.json,
