variant_label,sweep_param,sweep_value,trade_count,long_trade_count,short_trade_count,win_rate_pct,profit_factor,total_return_pct,max_drawdown_pct,ending_equity,average_trade_return_pct,best_trade_return_pct,worst_trade_return_pct,time_stop_count,macd_failure_count,long_entry_signal_count,short_entry_signal_count,run_root,trades_csv_path,summary_json_path,chart_path
max_bars_in_trade=6,max_bars_in_trade,6,128,59,69,57.8125,1.4771,0.1917,-0.0857,100191.73,0.0784,1.1366,-0.8955,64,0,79,96,backtests\2026-04-21_01-45-07_NVDA_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21_sweep_max_bars_in_trade\2026-04-21_01-45-07_NVDA_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21_max_bars_in_trade_6,backtests\2026-04-21_01-45-07_NVDA_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21_sweep_max_bars_in_trade\2026-04-21_01-45-07_NVDA_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21_max_bars_in_trade_6\2026-04-21_01-45-07_NVDA_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21_max_bars_in_trade_6_trades.csv,backtests\2026-04-21_01-45-07_NVDA_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21_sweep_max_bars_in_trade\2026-04-21_01-45-07_NVDA_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21_max_bars_in_trade_6\2026-04-21_01-45-07_NVDA_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21_max_bars_in_trade_6_summary.json,
max_bars_in_trade=9,max_bars_in_trade,9,127,58,69,54.3307,1.4301,0.1821,-0.0929,100182.14,0.0753,1.1672,-0.8955,53,0,79,96,backtests\2026-04-21_01-45-07_NVDA_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21_sweep_max_bars_in_trade\2026-04-21_01-45-07_NVDA_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21_max_bars_in_trade_9,backtests\2026-04-21_01-45-07_NVDA_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21_sweep_max_bars_in_trade\2026-04-21_01-45-07_NVDA_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21_max_bars_in_trade_9\2026-04-21_01-45-07_NVDA_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21_max_bars_in_trade_9_trades.csv,backtests\2026-04-21_01-45-07_NVDA_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21_sweep_max_bars_in_trade\2026-04-21_01-45-07_NVDA_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21_max_bars_in_trade_9\2026-04-21_01-45-07_NVDA_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21_max_bars_in_trade_9_summary.json,
max_bars_in_trade=12,max_bars_in_trade,12,127,58,69,51.1811,1.4969,0.2229,-0.0832,100222.94,0.0924,1.2845,-0.8955,46,0,79,96,backtests\2026-04-21_01-45-07_NVDA_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21_sweep_max_bars_in_trade\2026-04-21_01-45-07_NVDA_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21_max_bars_in_trade_12,backtests\2026-04-21_01-45-07_NVDA_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21_sweep_max_bars_in_trade\2026-04-21_01-45-07_NVDA_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21_max_bars_in_trade_12\2026-04-21_01-45-07_NVDA_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21_max_bars_in_trade_12_trades.csv,backtests\2026-04-21_01-45-07_NVDA_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21_sweep_max_bars_in_trade\2026-04-21_01-45-07_NVDA_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21_max_bars_in_trade_12\2026-04-21_01-45-07_NVDA_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21_max_bars_in_trade_12_summary.json,
max_bars_in_trade=15,max_bars_in_trade,15,127,58,69,50.3937,1.5873,0.2751,-0.0936,100275.14,0.1134,1.3437,-0.9799,39,0,79,96,backtests\2026-04-21_01-45-07_NVDA_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21_sweep_max_bars_in_trade\2026-04-21_01-45-07_NVDA_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21_max_bars_in_trade_15,backtests\2026-04-21_01-45-07_NVDA_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21_sweep_max_bars_in_trade\2026-04-21_01-45-07_NVDA_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21_max_bars_in_trade_15\2026-04-21_01-45-07_NVDA_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21_max_bars_in_trade_15_trades.csv,backtests\2026-04-21_01-45-07_NVDA_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21_sweep_max_bars_in_trade\2026-04-21_01-45-07_NVDA_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21_max_bars_in_trade_15\2026-04-21_01-45-07_NVDA_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21_max_bars_in_trade_15_summary.json,
max_bars_in_trade=18,max_bars_in_trade,18,127,58,69,50.3937,1.4747,0.2331,-0.0944,100233.06,0.0966,1.5636,-1.1051,30,0,79,96,backtests\2026-04-21_01-45-07_NVDA_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21_sweep_max_bars_in_trade\2026-04-21_01-45-07_NVDA_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21_max_bars_in_trade_18,backtests\2026-04-21_01-45-07_NVDA_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21_sweep_max_bars_in_trade\2026-04-21_01-45-07_NVDA_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21_max_bars_in_trade_18\2026-04-21_01-45-07_NVDA_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21_max_bars_in_trade_18_trades.csv,backtests\2026-04-21_01-45-07_NVDA_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21_sweep_max_bars_in_trade\2026-04-21_01-45-07_NVDA_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21_max_bars_in_trade_18\2026-04-21_01-45-07_NVDA_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21_max_bars_in_trade_18_summary.json,
