decision_id,timestamp,bot_version,account,symbol,strategy,strategy_version,interval,action,reason,latest_close,entry_price,buying_power,in_position,position_side,position_qty,qty,market_is_open,force_test_trade,force_direction
c539e43e80394a7abdcbb033ef72573c,2026-04-30T15:06:26Z,0.3.0,vwap_rsi_paper,IWM,vwap_rsi_mean_reversion,v1,5m,SELL,vwap_rsi_mean_reversion,275.08,,391763.8,False,flat,0,28,True,False,SELL
a511766b724244af81605e10f4d9addd,2026-04-30T15:06:32Z,0.3.0,vwap_rsi_paper,ARKK,vwap_rsi_mean_reversion,v1,5m,SELL,vwap_rsi_mean_reversion,75.15,,382519.29,False,flat,0,101,True,False,SELL
ecc6eea755e442e59a3768a81a50c1f8,2026-04-30T15:09:25Z,0.3.0,macd_pullback_paper,AMZN,macd_pullback,v2,5m,BUY,macd_failure,260.205,258.488276,385381.69,True,short,29,29,True,False,SELL
f2ff81f5da4949bc906c7bb4d9ad1338,2026-04-30T15:33:06Z,0.3.0,vwap_rsi_paper,ARKK,vwap_rsi_mean_reversion,v1,5m,SELL,vwap_rsi_mean_reversion,75.51,,391763.8,False,flat,0,103,True,False,SELL
98f2db1272f04e788113b5f45f597bf1,2026-04-30T15:40:53Z,0.3.0,vwap_rsi_paper,IWM,vwap_rsi_mean_reversion,v1,5m,SELL,vwap_rsi_mean_reversion,275.735,,382433.24,False,flat,0,27,True,False,SELL
16345bccc368430891631184630c7849,2026-04-30T15:43:36Z,0.3.0,macd_pullback_paper,AMD,macd_pullback,v2,5m,SELL,macd_failure,346.29,343.28,394377.08,True,long,23,23,True,False,SELL
e92fabeb6fde4ac3ad587cf3d631d3fe,2026-04-30T15:56:42Z,0.3.0,vwap_rsi_paper,NVDA,vwap_rsi_mean_reversion,v1,5m,SELL,time_stop,201.21,199.92,373502.84,True,long,40,40,True,False,SELL
6c9e0a0578d44b8fbe01c62eeefe3362,2026-04-30T16:47:58Z,0.3.0,vwap_rsi_paper,ARKK,vwap_rsi_mean_reversion,v1,5m,BUY,time_stop,75.49,75.49,381499.64,True,short,103,103,True,False,SELL
34a0a6b4d92f4952bcac604c172ebe13,2026-04-30T16:52:19Z,0.3.0,vwap_rsi_paper,IWM,vwap_rsi_mean_reversion,v1,5m,BUY,time_stop,276.33,275.62963,390830.2,True,short,27,27,True,False,SELL
903b490aa48942589bbdd9cdfefedc37,2026-04-30T16:54:55Z,0.3.0,macd_pullback_paper,AMZN,macd_pullback,v2,5m,SELL,macd_pullback,258.75,,402272.52,False,flat,0,31,True,False,SELL
047b474ffba842399ea8dcee5291267f,2026-04-30T18:01:02Z,0.3.0,vwap_rsi_paper,AMD,vwap_rsi_mean_reversion,v1,5m,SELL,vwap_rsi_mean_reversion,354.09,,399760.6,False,flat,0,22,True,False,SELL
007bc6153ca54e7d89cfa6583b01dd37,2026-04-30T18:50:26Z,0.3.0,vwap_rsi_paper,AMZN,vwap_rsi_mean_reversion,v1,5m,SELL,vwap_rsi_mean_reversion,263.65,,390405.23,False,flat,0,29,True,False,SELL
27fe57ca7b2f4658a276cbbc431b30a2,2026-04-30T18:50:34Z,0.3.0,vwap_rsi_paper,MSFT,vwap_rsi_mean_reversion,v1,5m,SELL,vwap_rsi_mean_reversion,407.215,,381236.13,False,flat,0,18,True,False,SELL
007f57cc1e9443c1a29c908a4714bbcd,2026-04-30T19:11:48Z,0.3.0,vwap_rsi_paper,AMD,vwap_rsi_mean_reversion,v1,5m,BUY,time_stop,351.99,354.37,372448.82,True,short,22,22,True,False,SELL
c311ebe18bff42b4967da821d76f850a,2026-04-30T19:28:37Z,0.3.0,vwap_rsi_paper,MSFT,vwap_rsi_mean_reversion,v1,5m,SELL,vwap_rsi_mean_reversion,408.12,,399760.6,False,flat,0,19,True,False,SELL
