symbol,strategy,interval,side,qty,entry_signal_time,entry_time,entry_price,exit_time,exit_price,exit_reason,bars_held,pnl,return_pct,stop_price,take_profit_price,stop_distance,stop_distance_frac_of_price,stop_source,risk_reward_multiple
ALB,macd_pullback,5m,long,5,2025-04-02T19:35:00+00:00,2025-04-02T19:40:00+00:00,72.41,2025-04-03T13:30:00+00:00,72.13,stop_loss,5,-1.4,-0.3867,72.13,72.83,0.28,0.003867,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-04-17T18:15:00+00:00,2025-04-17T18:20:00+00:00,52.72,2025-04-21T13:45:00+00:00,51.64,take_profit,22,5.4,2.0486,53.44,51.64,0.72,0.013657,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-04-25T19:45:00+00:00,2025-04-25T19:50:00+00:00,57.68,2025-04-28T13:35:00+00:00,58.88,take_profit,4,6.0,2.0804,56.88,58.88,0.8,0.01387,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-05-02T19:25:00+00:00,2025-05-02T19:30:00+00:00,60.78,2025-05-05T13:30:00+00:00,59.69,stop_loss,7,-5.45,-1.7934,59.69,62.42,1.09,0.017934,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-05-05T18:25:00+00:00,2025-05-05T18:30:00+00:00,58.345,2025-05-07T13:30:00+00:00,57.0,take_profit,95,6.725,2.3053,59.24,57.0,0.895,0.01534,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-05-08T19:20:00+00:00,2025-05-08T19:25:00+00:00,57.73,2025-05-08T19:50:00+00:00,57.41,stop_loss,6,-1.6,-0.5543,57.41,58.21,0.32,0.005543,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-05-15T17:15:00+00:00,2025-05-15T17:20:00+00:00,59.82,2025-05-16T14:05:00+00:00,58.74,take_profit,40,5.4,1.8054,60.54,58.74,0.72,0.012036,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-05-19T16:00:00+00:00,2025-05-19T16:05:00+00:00,59.395,2025-05-19T16:40:00+00:00,58.86,take_profit,8,2.675,0.9007,59.75,58.86,0.355,0.005977,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-05-19T17:55:00+00:00,2025-05-19T18:00:00+00:00,59.08,2025-05-20T14:05:00+00:00,59.65,stop_loss,31,-2.85,-0.9648,59.65,58.22,0.57,0.009648,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-05-20T17:35:00+00:00,2025-05-20T17:40:00+00:00,60.025,2025-05-20T18:25:00+00:00,59.53,stop_loss,10,-2.475,-0.8247,59.53,60.77,0.495,0.008247,ema200_buffer,1.5
